Company,Country,Headquarters,Est.,Notes
Aleph Producciones,Argentina,Buenos Aires,1990,
Argentina Sono Film,Argentina,Buenos Aires,1933,
BD Cine,Argentina,Buenos Aires,1995,
Guacamole Films,Argentina,Buenos Aires,2002,
Patagonik Film Group,Argentina,Buenos Aires,1996,
Pol-ka,Argentina,Buenos Aires,1994,
Disney Studios Australia,Australia,"Sydney, New South Wales",1998,Parent is Walt Disney Studios
Efftee Studios,Australia,"Sydney, New South Wales",1933,Founded in Melbourne. Defunct in 1935.
Rising Sun Pictures,Australia,"Adelaide, South Australia",1995,
Village Roadshow,Australia,"Melbourne, Victoria",1954,
Village Roadshow Studios,Australia,"Gold Coast, Queensland",1991,Parent is Village Roadshow
Working Dog Productions,Australia,"Melbourne, Victoria",1993,
Jaaz Multimedia,Bangladesh,Dhaka,2011,
Monsoon Films,Bangladesh,Dhaka,2010,
Impress Telefilm,Bangladesh,Dhaka,1996,
Belarusfilm,Belarus,Minsk,1928,
Studio 100,Belgium,Schelle,1996,
Globo Filmes,Brazil,Rio de Janeiro,1998,
Nu Boyana Film Studios,Bulgaria,Sofia,1962,
Allude Entertainment,Canada,Vancouver,2012,
Atopia,Canada,"Montreal, Quebec",2000,
Bleeding Art Industries,Canada,"Calgary, Alberta",2002,
Breakthrough Entertainment,Canada,"Toronto, Ontario",1986,
The Bridge Studios,Canada,"Burnaby, British Columbia",1987,
Brightlight Pictures,Canada,"Vancouver, British Columbia",2001,
Cloud Ten Pictures,Canada,"St. Catharines, Ontario",1994,
DHX Media,Canada,Halifax,2006,Children's television
Entertainment One Films Canada,Canada,"Toronto, Ontario",1995,
Leda Serene Films,Canada,"Toronto, Ontario",1999,
Malofilm,Canada,"Montreal, Quebec",1983,
National Film Board of Canada,Canada,"Montreal, Quebec",1939,
Paperny Entertainment,Canada,"Vancouver, British Columbia",1994,
Shaftesbury Films,Canada,"Toronto, Ontario",1987,
Shavick Entertainment,Canada,"Vancouver, British Columbia",1993,
sisu production,Canada,"Toronto, Ontario",2013,
Suneeva,Canada,"Toronto, Ontario",2005,
Alibaba Pictures,China,Zhejiang,2014,
Asia Film Company,China,Shanghai,1909,Defunct in 1914
Beijing Enlight Pictures,China,Beijing,2000,
Beijing Galloping Horse Group,China,Beijing,2003,
Changchun Film Group Corporation,China,"Changchun, Jilin",1950,
China Film Group Corporation,China,Beijing,1999,
Cinema Popular,China,Hong Kong,2009,
Diantong Film Company,China,Shanghai,1934,Defunct in 1935
DMG Entertainment,China,Beijing,1993,
Fantasy Pictures,China,Beijing,2005,
Film Workshop,China,Hong Kong,1984,
Fly Films,China,Shanghai,2004,
Fundamental Films,China,Shanghai,2008,
Golden Princess Film Production,China,Hong Kong,1987,
Great Wall Film Company,China,Shanghai,1920,Last known film was 1930
Hengdian World Studios,China,Dongyang,1996,
Heyi Pictures,China,,,
Huayi Brothers,China,Beijing,1994,
Imar Film Company,China,Beijing,1997,
L'est Films Group,China,Beijing,2008,
Laurel Films,China,Beijing,2000,
Lianhua Film Company,China,Shanghai,1930,Defunct in 1937
Mandarin Films,China,Hong Kong,1991,
Media Asia Entertainment Group,China,Hong Kong,1994,Parent is Lai Sun Development
Mingxing Film Company,China,Shanghai,1922,Defunct in 1937
China Sun Motion Picture Company,China,Hong Kong,1922,"Defunct in 1937, absorbed into the Lianhua Film Company"
MZ Pictures,China,Shanghai,2009,
Northeast Film Studio,China,Changchun,1945,Defunct in 1955
One Hundred Years of Film,China,Hong Kong,1999,Parent is China Star Entertainment Group
Orange Sky Golden Harvest,China,Hong Kong,1970,
Oriental DreamWorks,China,Shanghai,2012,Partially owned by DreamWorks Animation
Polybona Films,China,Beijing,1999,
Shanghai Animation Film Studio,China,Shanghai,1957,
Shanghai Film Group Corporation,China,Shanghai,2001,
Shanghai Film Studio,China,Shanghai,1949,Part of the Shanghai Film Group Corporation since 2001
Shaw Brothers,China,Hong Kong,1958,Defunct in 2011
Sil-Metropole Organisation,China,Hong Kong,1982,Formed through the merger of four large studios
Sundream Motion Pictures,China,Hong Kong,2005,
Tianyi Film Company,China,Shanghai,1925,Defunct in 1937
Wanda Media,China,Beijing,2010,
Wenhua Film Company,China,Shanghai,1946,Defunct in 1952
Win's Entertainment,China,Hong Kong,1990,Defunct in 2009
Xinhua Film Company,China,Shanghai,1934,Defunct in 1942
Xstream Pictures,China,Beijing,2003,
Zagreb Film,Croatia,Zagreb,1953,Primarily animation
Jadran Film,Croatia,Zagreb,1946,
Croatia Film,Croatia,Zagreb,1946,
Barrandov Studios,Czech Republic,Prague,1921,
HF Productions,Denmark,Copenhagen,2017,
Nordisk Film,Denmark,"Valby, Copenhagen",1906,Oldest continuously active studio in the world
Saga Studios,Denmark,Copenhagen,1942,Defunct in 1974
Zentropa Entertainments,Denmark,"Avedøre, Copenhagen",1992,
Adastra Films,France,Cannes,2008,
Advantage-studio,France,,1987,
Disneynature,France,Paris,2008,Subsidiary of The Walt Disney Studios
Les Films du Poisson,France,Paris,1995,
Gaumont Film Company,France,Paris,1895,First and oldest film company in the world
Pathé,France,Paris,1896,
StudioCanal,France,Paris,1988,
Bavaria Film,Germany,Munich,1919,
Constantin Film,Germany,Munich,1950,
DEFA,Germany,Berlin,1946,"State-owned, defunct in 1992"
Neue deutsche Filmgesellschaft,Germany,Munich,1947,
Rialto Film,Germany,Berlin,1897,
Studio Babelsberg,Germany,Potsdam,1912,
Universum Film AG (UFA),Germany,Berlin,1917,
Wild Bunch,Germany,Berlin,1979,Previously a part of French firm StudioCanal
Finos Film,Greece,Athens,1943,"Defunct in 1977 (temporarily), 2006 comeback"
Pannonia Film Studio,Hungary,Budapest,1956,Animation
Blueeyes Productions,Iceland,Reykjavík,1999,Later became RVK Studios
RVK Studios,Iceland,Reykjavík,2013,Formed from Blueeyes Productions
True north,Iceland,Reykjavík,2003,
Sagafilm,Iceland,Reykjavík,1978,
Aashirvad Cinemas,India,"Kochi, Kerala",2000,
Ajay Devgn FFilms,India,"Mumbai, Maharashtra",1999,
Annapurna Studios,India,"Hyderabad, Telangana",1975,
Anurag Kashyap Films,India,"Mumbai, Maharashtra",2005,Founded by Anurag Kashyap
AVM Productions,India,"Chennai, Tamil Nadu",1945,
Balaji Motion Pictures,India,"Mumbai, Maharashtra",2001,Subsidiary of Balaji Telefilms
Balaji Telefilms,India,"Mumbai, Maharashtra",1994,
Bombay Talkies,India,"Mumbai, Maharashtra (then Bombay)",1934,Defunct as of 1954
Chilsag Entertainment Network,India,"Mumbai, Maharashtra",2003,
CineMan Productions,India,"Ahmedabad, Gujarat",2010,Founded by Abhishek Jain
Clean Slate Films,India,"Mumbai, Maharashtra",2014,"Founded by Anushka Sharma, Karnesh Sharma"
Cloud Nine Movies,India,"Chennai, Tamil Nadu",2008,Subsidiary of Kalaignar TV
DAR Motion Pictures,India,"Mumbai, Maharashtra",2009,
Dharma Productions,India,"Mumbai, Maharashtra",1976,
Eros International,India,"Mumbai, Maharashtra",1977,
Eskay Movies,India,"Kolkata, West Bengal",1988,Founded as Eskay Video Private Limited
Excel Entertainment,India,"Mumbai, Maharashtra",1999,
Felis Creations,India,"Bangalore, Karnataka",2006,
Fox Star Studios,India,"Mumbai, Maharashtra",2008,Subsidiary of 21st Century Fox
Gemini Studios,India,"Chennai, Tamil Nadu",1940,
Geetha Arts,India,"Hyderabad, Telangana",1972,
Hari Om Entertainment,India,"Mumbai, Maharashtra",2008,Founded by Akshay Kumar
Hombale Films,India,"Bangalore, Karnataka",2012,
Illuminati Films,India,"Mumbai, Maharashtra",2009,Founded by Saif Ali Khan and Dinesh Vijan
Kanteerava Studios,India,"Bangalore, Karnataka",1966,
Kavithalaya Productions,India,"Chennai, Tamil Nadu",1981,
Lyca Productions,India,"Chennai, Tamil Nadu",2014,Founded by Subaskaran Allirajah
Madras Talkies,India,"Chennai, Tamil Nadu",1995,Founded by Mani Ratnam and Suhasini Maniratnam
Mukta Arts,India,"Mumbai, Maharashtra",1978,
Nadiadwala Grandson Entertainment,India,"Mumbai, Maharashtra",1970,Founded by Sajid Nadiadwala
Padmalaya Studios,India,"Hyderabad, Telangana",1970,
Percept Picture Company,India,"Mumbai, Maharashtra",2002,
PVR Pictures,India,"Gurgaon, Haryana",1997,
Rajshri Productions,India,"Mumbai, Maharashtra",1947,
Real Image Media Technologies,India,"Chennai, Tamil Nadu",1986,
Reliance Big Entertainment,India,"Mumbai, Maharashtra",2005,Subsidiary of Reliance Anil Dhirubhai Ambani Group
Red Chillies Entertainment,India,"Mumbai, Maharashtra",2002,
R.K. Films,India,"Mumbai, Maharashtra",1948,
S Pictures,India,"Chennai, Tamil Nadu",1999,
Sahara One,India,"New Delhi, Delhi",2000,
Shree Ashtavinayak Cine Vision,India,"Mumbai, Maharashtra",2001,
Shree Venkatesh Films,India,"Kolkata, West Bengal",1996,
Sivaji Productions,India,"Chennai, Tamil Nadu",1956,
Studio Green,India,"Chennai, Tamil Nadu",2006,
Sudha Productions,India,"Mumbai, Maharashtra",2008,
Sun Pictures,India,"Chennai, Tamil Nadu",2008,
Suresh Productions,India,"Hyderabad, Telangana",1963,
Surinder Films,India,"Kolkata, West Bengal",1970[1],
T-Series,India,"New Delhi, Delhi",2001,"Founded by Gulshan Kumar, mainly a music studio"
Tips Industries,India,"Mumbai, Maharashtra",1975,
Thenandal Studio Limited,India,"Chennai, Tamil Nadu",1976,Founded by Rama Narayanan
Trimurti Films,India,"Mumbai, Maharashtra",1970,
T-Series,India,"New Delhi, Delhi",2001,
UTV Motion Pictures,India,"Mumbai, Maharashtra",2004,Subsidiary of UTV Software Communications and The Walt Disney Company
Viacom 18 Motion Pictures,India,"Mumbai, Maharashtra",2008,Subsidiary of Viacom 18 and Viacom
